,train_loss,valid_loss
0,2.637850046157837,1.292733907699585
1,1.3413678407669067,1.0564756393432617
2,1.213870882987976,0.9499289989471436
3,1.1698092222213745,0.9184374213218689
4,1.0632902383804321,0.8423025608062744
5,1.0584266185760498,0.8104724287986755
6,1.027591586112976,0.7975278496742249
7,0.9913973808288574,0.7759231925010681
8,0.9431596994400024,0.7484590411186218
9,0.9427160024642944,0.7981613278388977
10,0.9709413051605225,0.7569012641906738
11,0.9386260509490967,0.7376686930656433
12,0.9367835521697998,0.7364317178726196
13,0.8919591903686523,0.716020405292511
14,0.9307467341423035,0.685901403427124
15,0.9117394685745239,0.6884926557540894
16,0.8801509737968445,0.6874467730522156
17,0.8712927103042603,0.6712884902954102
18,0.9186654686927795,0.6424968242645264
19,0.8554432988166809,0.6893413662910461
20,0.8499886989593506,0.6624444127082825
21,0.8249929547309875,0.6307512521743774
22,0.8461866974830627,0.6697419285774231
23,0.8352378010749817,0.691058337688446
24,0.8336566090583801,0.7133424878120422
25,0.8267167806625366,0.6375707983970642
26,0.8757256269454956,0.6657936573028564
27,0.8068802952766418,0.6646977663040161
28,0.8495440483093262,0.6879236102104187
29,0.8271249532699585,0.6565162539482117
