,train_loss,valid_loss
0,4.883180141448975,4.85267972946167
1,4.823549270629883,4.753093242645264
2,4.716590404510498,4.61340856552124
3,4.615091323852539,4.5369553565979
4,4.549509525299072,4.480517387390137
5,4.511700630187988,4.486088275909424
6,4.485241889953613,4.425426959991455
7,4.431342601776123,4.4252824783325195
8,4.390067100524902,4.322326183319092
9,4.342482566833496,4.363646984100342
10,4.296543121337891,4.1690192222595215
11,4.2414751052856445,4.150270938873291
12,4.191921234130859,4.1195292472839355
13,4.1402130126953125,4.029609203338623
14,4.101429462432861,4.031064510345459
15,4.054389953613281,3.920569896697998
16,4.003671646118164,3.8734095096588135
17,3.9549968242645264,3.8089959621429443
18,3.9192826747894287,3.7017271518707275
19,3.84277606010437,3.650890827178955
20,3.796409845352173,3.625941753387451
21,3.735605001449585,3.6061229705810547
22,3.6850967407226562,3.5523407459259033
23,3.6449332237243652,3.6015853881835938
24,3.6007604598999023,3.3722426891326904
25,3.5268726348876953,3.393155813217163
26,3.467329502105713,3.409363269805908
27,3.434400796890259,3.2255804538726807
28,3.38521671295166,3.2067978382110596
29,3.34732723236084,3.1610608100891113
30,3.291436195373535,3.0410218238830566
31,3.2402305603027344,3.1129608154296875
32,3.166783332824707,2.9705772399902344
33,3.1365363597869873,2.850933790206909
34,3.1043694019317627,2.7782864570617676
35,3.0302813053131104,2.742403507232666
36,2.9709246158599854,2.7713122367858887
37,2.891191244125366,2.8156797885894775
38,2.909620523452759,2.53749680519104
39,2.8218445777893066,2.5742807388305664
40,2.798807144165039,2.6379077434539795
41,2.736326217651367,2.4904253482818604
42,2.6968910694122314,2.4191174507141113
43,2.642653703689575,2.4264516830444336
44,2.6030023097991943,2.2839128971099854
45,2.5549099445343018,2.231916904449463
46,2.476654529571533,2.147765874862671
47,2.4539952278137207,2.249189615249634
48,2.436230421066284,2.184638023376465
49,2.3877952098846436,2.010322093963623
50,2.331653356552124,2.166908025741577
51,2.2841150760650635,1.9660956859588623
52,2.1994614601135254,1.9859380722045898
53,2.234959602355957,1.8605836629867554
54,2.187398672103882,1.8840086460113525
55,2.1434552669525146,1.8039101362228394
56,2.1029250621795654,1.7016569375991821
57,2.080068588256836,1.8503384590148926
58,2.0284793376922607,1.649795651435852
59,2.005664825439453,1.6589858531951904
60,2.000532388687134,1.558646559715271
61,1.9413678646087646,1.6102542877197266
62,1.8943628072738647,1.5264205932617188
63,1.8869049549102783,1.5615473985671997
64,1.8549468517303467,1.6386058330535889
65,1.8623347282409668,1.5176392793655396
66,1.8536248207092285,1.4953999519348145
67,1.8223856687545776,1.5012187957763672
68,1.8082088232040405,1.460516095161438
69,1.7714875936508179,1.419385552406311
70,1.6969164609909058,1.4951372146606445
71,1.6855878829956055,1.3529914617538452
72,1.667773723602295,1.369326114654541
73,1.6482632160186768,1.3018089532852173
74,1.654030680656433,1.3798106908798218
75,1.6892211437225342,1.3053561449050903
76,1.6296451091766357,1.2652853727340698
77,1.592606782913208,1.3167859315872192
78,1.5960571765899658,1.4019964933395386
79,1.564241647720337,1.292432427406311
80,1.502556324005127,1.2618502378463745
81,1.5726040601730347,1.2962405681610107
82,1.490255355834961,1.1783182621002197
83,1.5156779289245605,1.2578542232513428
84,1.4861692190170288,1.1986808776855469
85,1.438482642173767,1.214443325996399
86,1.5085760354995728,1.1751251220703125
87,1.4527912139892578,1.2797622680664062
88,1.4229899644851685,1.1557204723358154
89,1.3826161623001099,1.0811668634414673
90,1.444422960281372,1.2582683563232422
91,1.4116051197052002,1.185505986213684
92,1.3656738996505737,1.1599739789962769
93,1.357530951499939,1.0917116403579712
94,1.324353575706482,1.0472691059112549
95,1.358189582824707,1.1106473207473755
96,1.3756877183914185,1.0122463703155518
97,1.3356752395629883,1.0301425457000732
98,1.2647154331207275,1.0992953777313232
99,1.3405877351760864,1.0378777980804443
